"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)"
Mar 17 2015 00:50:00.000000000,82.5,-40.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,-35.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,-30.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,-25.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,-20.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,-15.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,-10.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,-5.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,0.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,5.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,10.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,15.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,20.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,25.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,30.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,35.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,40.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,45.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,50.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,55.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,60.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,65.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,70.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,75.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,80.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,85.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,90.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,95.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,100.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,105.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,110.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,115.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,120.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,125.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,130.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,135.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,140.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,145.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,150.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,155.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,160.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,165.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,170.0,120.0
Mar 17 2015 00:50:00.000000000,82.5,175.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-180.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-175.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-170.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-165.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-160.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-155.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-150.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-145.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-140.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-135.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-130.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-125.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-120.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-115.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-110.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-105.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-100.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-95.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-90.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-85.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-80.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-75.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-70.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-65.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-60.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-55.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-50.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-45.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-40.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-35.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-30.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-25.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-20.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-15.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-10.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,-5.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,0.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,5.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,10.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,15.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,20.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,25.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,30.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,35.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,40.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,45.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,50.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,55.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,60.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,65.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,70.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,75.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,80.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,85.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,90.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,95.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,100.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,105.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,110.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,115.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,120.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,125.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,130.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,135.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,140.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,145.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,150.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,155.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,160.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,165.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,170.0,120.0
Mar 17 2015 00:50:00.000000000,77.5,175.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-180.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-175.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-170.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-165.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-160.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-155.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-150.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-145.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-140.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-135.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-130.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-125.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-120.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-115.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-110.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-105.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-100.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-95.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-90.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-85.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-80.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-75.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-70.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-65.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-60.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-55.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-50.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-45.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-40.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-35.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-30.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-25.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-20.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-15.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-10.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,-5.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,0.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,5.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,10.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,15.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,20.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,25.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,30.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,35.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,40.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,45.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,50.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,55.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,60.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,65.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,70.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,75.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,80.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,85.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,90.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,95.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,100.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,105.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,110.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,115.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,120.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,125.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,130.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,135.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,140.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,145.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,150.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,155.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,160.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,165.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,170.0,120.0
Mar 17 2015 00:50:00.000000000,72.5,175.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-180.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-175.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-170.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-165.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-160.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-155.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-150.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-145.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-140.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-135.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-130.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-125.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-120.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-115.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-110.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-105.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-100.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-95.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-90.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-85.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-80.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-75.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-70.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-65.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-60.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-55.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-50.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-45.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-40.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-35.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-30.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-25.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-20.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-15.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-10.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,-5.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,0.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,5.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,10.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,15.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,20.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,25.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,30.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,35.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,40.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,45.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,50.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,55.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,60.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,65.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,70.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,75.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,80.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,85.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,90.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,95.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,100.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,105.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,110.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,115.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,120.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,125.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,130.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,135.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,140.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,145.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,150.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,155.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,160.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,165.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,170.0,120.0
Mar 17 2015 00:50:00.000000000,67.5,175.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-180.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-175.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-170.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-165.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-160.0,120.0
Mar 17 2015 00:50:00.000000000,62.5,-155.0,120.0
